latitude,longitude,month,Wind Chill Index
11.5,-3.5,1,96.68086
11.5,-3.25,1,98.62954
11.5,-3,1,101.23453
11.5,-2.75,1,98.98062
11.5,-2.5,1,95.6861
11.5,-2.25,1,96.20685
11.5,-2,1,97.83913
11.5,-1.75,1,100.18984
11.5,-1.5,1,101.68653
11.5,-1.25,1,102.2079
11.5,-1,1,102.74173
11.5,-0.75,1,101.853645
11.5,-0.5,1,99.49851
11.5,-0.25,1,99.41536
11.5,0,1,100.40568
11.5,0.25,1,100.44441
11.5,0.5,1,100.222145
11.5,0.75,1,99.587494
11.5,1,1,100.758446
11.5,1.25,1,101.155106
11.5,1.5,1,101.034164
11.5,1.75,1,101.42814
11.5,2,1,101.51484
11.5,2.25,1,103.18422
11.5,2.5,1,104.99105
11.5,2.75,1,107.221436
11.5,3,1,108.41681
11.5,-5,2,33.25375
11.5,-4.75,2,33.801407
11.5,-4.5,2,34.476456
11.5,-4.25,2,35.6109
11.5,-4,2,34.631203
11.5,-3.75,2,32.77195
11.5,-3.5,2,33.04964
11.5,-3.25,2,34.399323
11.5,-3,2,36.694622
11.5,-2.75,2,34.573925
11.5,-2.5,2,31.205835
11.5,-2.25,2,31.129074
11.5,-2,2,32.542297
11.5,-1.75,2,34.464844
11.5,-1.5,2,35.559906
11.5,-1.25,2,36.353806
11.5,-1,2,36.760704
11.5,-0.75,2,36.63357
11.5,-0.5,2,35.242535
11.5,-0.25,2,34.998726
11.5,0,2,35.89427
11.5,0.25,2,35.822807
11.5,0.5,2,35.5894
11.5,0.75,2,34.95233
11.5,1,2,35.693077
11.5,1.25,2,35.69939
11.5,1.5,2,35.470318
11.5,1.75,2,35.958187
11.5,2,2,35.691776
11.5,2.25,2,36.663113
11.5,2.5,2,38.207134
11.5,2.75,2,39.94859
11.5,3,2,40.751633
11.5,-5,3,-13.065873
11.5,-4.75,3,-13.193005
11.5,-4.5,3,-13.943607
11.5,-4.25,3,-14.33831
11.5,-4,3,-15.275845
11.5,-3.75,3,-16.938715
11.5,-3.5,3,-17.979223
11.5,-3.25,3,-18.793001
11.5,-3,3,-17.829868
11.5,-2.75,3,-18.661911
11.5,-2.5,3,-20.65851
11.5,-2.25,3,-21.552649
11.5,-2,3,-21.728724
11.5,-1.75,3,-21.491436
11.5,-1.5,3,-21.480747
11.5,-1.25,3,-20.616413
11.5,-1,3,-19.815498
11.5,-0.75,3,-18.843147
11.5,-0.5,3,-19.066797
11.5,-0.25,3,-19.435219
11.5,0,3,-19.257189
11.5,0.25,3,-19.63935
11.5,0.5,3,-19.313408
11.5,0.75,3,-19.369509
11.5,1,3,-19.170458
11.5,1.25,3,-19.80555
11.5,1.5,3,-20.837725
11.5,1.75,3,-21.992329
11.5,2,3,-23.958529
11.5,2.25,3,-24.7873
11.5,2.5,3,-25.167496
11.5,2.75,3,-24.84678
11.5,3,3,-24.935453
11.5,-5,4,-12.1725855
11.5,-4.75,4,-11.307023
11.5,-4.5,4,-11.55752
11.5,-4.25,4,-11.938853
11.5,-4,4,-12.164348
11.5,-3.75,4,-13.00984
11.5,-3.5,4,-14.19022
11.5,-3.25,4,-16.526976
11.5,-3,4,-16.520113
11.5,-2.75,4,-16.20809
11.5,-2.5,4,-15.628732
11.5,-2.25,4,-15.408871
11.5,-2,4,-16.601662
11.5,-1.75,4,-17.748882
11.5,-1.5,4,-19.261034
11.5,-1.25,4,-19.6732
11.5,-1,4,-19.352919
11.5,-0.75,4,-18.410538
11.5,-0.5,4,-18.272469
11.5,-0.25,4,-17.916357
11.5,0,4,-17.952822
11.5,0.25,4,-19.42041
